Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Img Src,Img Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
,COVER,"COVER, GRILL 21'', COUNTER TOP",BLAZE,Parts,,,false,,,,,,,21ELECTCV,,,,,manual,54.99,,,,,,,,,,,,,adult,818718013393.0,,,new,,,,,,,,grams,,35.743500000000004,54.99,,draft
,COVER,"COVER, GRILL HEAD 25''",BLAZE,Parts,,,false,,,,,,,3BICV,,,,,manual,54.99,,,,,,,,,,,,,adult,818718010361.0,,,new,,,,,,,,grams,,35.743500000000004,54.99,,draft
,COVER,"COVER, GRILL HEAD 32''",BLAZE,Parts,,,false,,,,,,,4BICV,,,,,manual,64.99,,,,,,,,,,,,,adult,818718010392.0,,,new,,,,,,,,grams,,42.2435,64.99,,draft
,COVER,"COVER, GRILL HEAD 40''",BLAZE,Parts,,,false,,,,,,,5BICV,,,,,manual,74.99,,,,,,,,,,,,,adult,818718010378.0,,,new,,,,,,,,grams,,48.7435,74.99,,draft
,COVER,"COVER, KAMADO CART / GRILL HEAD 20''",BLAZE,Parts,,,false,,,,,,,20KMCTCV,,,,,manual,99.99,,,,,,,,,,,,,adult,818718012082.0,,,new,,,,,,,,grams,,64.9935,99.99,,draft
,COVER,"COVER, KAMADO GRILL HEAD 20''",BLAZE,Parts,,,false,,,,,,,20KMBICV,,,,,manual,89.99,,,,,,,,,,,,,adult,818718012075.0,,,new,,,,,,,,grams,,58.4935,89.99,,draft
,COVER,"COVER, PEDESTAL / GRILL 21''",BLAZE,Parts,,,false,,,,,,,21PEDELCV,,,,,manual,64.99,,,,,,,,,,,,,adult,818718013409.0,,,new,,,,,,,,grams,,42.2435,64.99,,draft
,COVER,"COVER, PIZZA OVEN 26'', BUILT IN",BLAZE,Parts,,,false,,,,,,,26-PZOVN-BICV,,,,,manual,49.99,,,,,,,,,,,,,adult,840351713674.0,,,new,,,,,,,,grams,,32.493500000000004,49.99,,draft
,COVER,"COVER, PIZZA OVEN 26'', TABLE TOP",BLAZE,Parts,,,false,,,,,,,26-PZOVN-TBCV,,,,,manual,59.99,,,,,,,,,,,,,adult,840351723698.0,,,new,,,,,,,,grams,,38.993500000000004,59.99,,draft
,COVER,"COVER, PRO CART / GRILL HEAD 34''",BLAZE,Parts,,,false,,,,,,,3PROCTCV,,,,,manual,99.99,,,,,,,,,,,,,adult,818718010736.0,,,new,,,,,,,,grams,,64.9935,99.99,,draft
,COVER,"COVER, PRO CART / GRILL HEAD 44''",BLAZE,Parts,,,false,,,,,,,4PROCTCV,,,,,manual,109.99,,,,,,,,,,,,,adult,818718012044.0,,,new,,,,,,,,grams,,71.4935,109.99,,draft
,COVER,"COVER, PRO GRILL HEAD 34''",BLAZE,Parts,,,false,,,,,,,3PROBICV,,,,,manual,74.99,,,,,,,,,,,,,adult,818718010729.0,,,new,,,,,,,,grams,,48.7435,74.99,,draft
,COVER,"COVER, PRO GRILL HEAD 44''",BLAZE,Parts,,,false,,,,,,,4PROBICV,,,,,manual,89.99,,,,,,,,,,,,,adult,818718012037.0,,,new,,,,,,,,grams,,58.4935,89.99,,draft
,DOOR 2 DRAWER COMBO,"DOOR 2 DRAWER COMBO, 32'' w/ LIGHTS",BLAZE,Parts,,,false,,,,,,,BLZ-DDC-R-LTSC,,,,,manual,789.99,,,,,,,,,,,,,adult,818718013737.0,,,new,,,,,,,,grams,,513.4935,789.99,,draft
,DOOR 3 DRAWER COMBO,"DOOR 3 DRAWER COMBO, 39'' w/ LIGHTS",BLAZE,Parts,,,false,,,,,,,BLZ-DDC-39-R-LTSC,,,,,manual,849.99,,,,,,,,,,,,,adult,818718013744.0,,,new,,,,,,,,grams,,552.4935,849.99,,draft
,DOOR DOUBLE,"DOOR DOUBLE, 25'' ",BLAZE,Parts,,,false,,,,,,,BLZ-AD25-R-SC,,,,,manual,389.99,,,,,,,,,,,,,adult,818718013706.0,,,new,,,,,,,,grams,,253.4935,389.99,,draft
,DOOR DOUBLE,"DOOR DOUBLE, 32''",BLAZE,Parts,,,false,,,,,,,BLZ-AD32-R-SC,,,,,manual,419.99,,,,,,,,,,,,,adult,818718013713.0,,,new,,,,,,,,grams,,272.99350000000004,419.99,,draft
,DOOR DOUBLE,"DOOR DOUBLE, 40''",BLAZE,Parts,,,false,,,,,,,BLZ-AD40-R-SC,,,,,manual,479.99,,,,,,,,,,,,,adult,818718013720.0,,,new,,,,,,,,grams,,311.99350000000004,479.99,,draft
,DOOR HORIZONTAL,"DOOR HORIZONTAL, 17'' x 24''",BLAZE,Parts,,,false,,,,,,,BLZ-SH-2417-R-SC,,,,,manual,359.99,,,,,,,,,,,,,adult,818718013799.0,,,new,,,,,,,,grams,,233.9935,359.99,,draft
,DOOR VERTICAL,"DOOR VERTICAL, 20'' x 14''",BLAZE,Parts,,,false,,,,,,,BLZ-SV-1420-R-SC,,,,,manual,309.99,,,,,,,,,,,,,adult,818718013812.0,,,new,,,,,,,,grams,,201.4935,309.99,,draft
,DOOR VERTICAL,"DOOR VERTICAL, 24'' x 17''",BLAZE,Parts,,,false,,,,,,,BLZ-SV-2417-R-SC,,,,,manual,359.99,,,,,,,,,,,,,adult,818718013805.0,,,new,,,,,,,,grams,,233.9935,359.99,,draft
,DOUBLE SIDE BURNER,"DOUBLE SIDE BURNER, LTE, LP",BLAZE,Parts,,,false,,,,,,,BLZ-SB2LTE-LP,,,,,manual,799.99,,,,,,,,,,,,,adult,818718011900.0,,,new,,,,,,,,grams,,519.9935,799.99,,draft
,DOUBLE SIDE BURNER,"DOUBLE SIDE BURNER, LTE, NG",BLAZE,Parts,,,false,,,,,,,BLZ-SB2LTE-NG,,,,,manual,799.99,,,,,,,,,,,,,adult,818718011917.0,,,new,,,,,,,,grams,,519.9935,799.99,,draft
,DRAWER,"DRAWER, DOUBLE 16'', w/ LIGHTS",BLAZE,Parts,,,false,,,,,,,BLZ-DRW2-R-LT,,,,,manual,669.99,,,,,,,,,,,,,adult,818718013751.0,,,new,,,,,,,,grams,,435.49350000000004,669.99,,draft
,DRAWER,"DRAWER, SINGLE TRASH / PROPANE",BLAZE,Parts,,,false,,,,,,,BLZ-TRLP-DRW-H,,,,,manual,499.99,,,,,,,,,,,,,adult,818718013836.0,,,new,,,,,,,,grams,,324.99350000000004,499.99,,draft
,DRAWER,"DRAWER, TRIPLE 16'', w/ LIGHTS",BLAZE,Parts,,,false,,,,,,,BLZ-DRW3-R-LT,,,,,manual,829.99,,,,,,,,,,,,,adult,818718013768.0,,,new,,,,,,,,grams,,539.4935,829.99,,draft
,DRAWER,"DRAWER, TRIPLE 30'', w/ LIGHTS",BLAZE,Parts,,,false,,,,,,,BLZ-30W-3DRW-LT,,,,,manual,1319.99,,,,,,,,,,,,,adult,818718013652.0,,,new,,,,,,,,grams,,857.9935,1319.99,,draft
,DRIP PAN FLAME GUARD (BLZ-3),DRIP PAN FLAME GUARD (BLZ-3),BLAZE,Parts,,,false,,,,,,,BLZ-3-DPFG,,,,,manual,69.99,,,,,,,,,,,,,adult,818718012808.0,,,new,,,,,,,,grams,,45.4935,69.99,,draft
,DRIP PAN FLAME GUARD (BLZ-3PRO),DRIP PAN FLAME GUARD (BLZ-3PRO),BLAZE,Parts,,,false,,,,,,,BLZ-3PRO-DPFG,,,,,manual,109.99,,,,,,,,,,,,,adult,818718012839.0,,,new,,,,,,,,grams,,71.4935,109.99,,draft
,DRIP PAN FLAME GUARD (BLZ-4),DRIP PAN FLAME GUARD (BLZ-4),BLAZE,Parts,,,false,,,,,,,BLZ-4-DPFG,,,,,manual,85.99,,,,,,,,,,,,,adult,818718012815.0,,,new,,,,,,,,grams,,55.893499999999996,85.99,,draft
,DRIP PAN FLAME GUARD (BLZ-4PRO),DRIP PAN FLAME GUARD (BLZ-4PRO),BLAZE,Parts,,,false,,,,,,,BLZ-4PRO-DPFG,,,,,manual,129.99,,,,,,,,,,,,,adult,818718012846.0,,,new,,,,,,,,grams,,84.49350000000001,129.99,,draft
,DRIP PAN FLAME GUARD (BLZ-5),DRIP PAN FLAME GUARD (BLZ-5),BLAZE,Parts,,,false,,,,,,,BLZ-5-DPFG,,,,,manual,99.99,,,,,,,,,,,,,adult,818718012822.0,,,new,,,,,,,,grams,,64.9935,99.99,,draft
,DRY STORAGE,"DRY STORAGE, DOUBLE DOOR 32''",BLAZE,Parts,,,false,,,,,,,BLZ-DRY-STG2-SC,,,,,manual,1399.99,,,,,,,,,,,,,adult,818718013850.0,,,new,,,,,,,,grams,,909.9935,1399.99,,draft
,FRIDGE DOOR SLEEVE,"FRIDGE DOOR SLEEVE, 4.4 LEFT HINGE",BLAZE,Parts,,,false,,,,,,,BLZ-SSFP-126LH,,,,,manual,189.99,,,,,,,,,,,,,adult,818718103591.0,,,new,,,,,,,,grams,,123.49350000000001,189.99,,draft
,FRIDGE DOOR SLEEVE,"FRIDGE DOOR SLEEVE, 4.4 RIGHT HINGE",BLAZE,Parts,,,false,,,,,,,BLZ-SSFP-126,,,,,manual,189.99,,,,,,,,,,,,,adult,818718103591.0,,,new,,,,,,,,grams,,123.49350000000001,189.99,,draft
,FRIDGE TRIM KIT,"FRIDGE TRIM KIT, 3.2",BLAZE,Parts,,,false,,,,,,,BLZ-TK-15,,,,,manual,79.99,,,,,,,,,,,,,adult,818718013577.0,,,new,,,,,,,,grams,,51.9935,79.99,,draft
,FRIDGE TRIM KIT,"FRIDGE TRIM KIT, 4.4",BLAZE,Parts,,,false,,,,,,,BLZ-TK-126,,,,,manual,79.99,,,,,,,,,,,,,adult,,,,new,,,,,,,,grams,,51.9935,79.99,,draft
,FRIDGE TRIM KIT,"FRIDGE TRIM KIT, 5.5 (SSRF/ GDBEV)",BLAZE,Parts,,,false,,,,,,,BLZ-TK-5.5,,,,,manual,79.99,,,,,,,,,,,,,adult,818718013553.0,,,new,,,,,,,,grams,,51.9935,79.99,,draft
,FRIDGE TRIM KIT,"FRIDGE TRIM KIT, DBL DRAWER 5.1",BLAZE,Parts,,,false,,,,,,,BLZ-TK-DR5.1,,,,,manual,89.99,,,,,,,,,,,,,adult,818718913010.0,,,new,,,,,,,,grams,,58.4935,89.99,,draft
,FRIDGE,"FRIDGE, 4.4 CUBIC FEET, 20'' ",BLAZE,Parts,,,false,,,,,,,BLZ-SSRF126,,,,,manual,539.99,,,,,,,,,,,,,adult,818718013492.0,,,new,,,,,,,,grams,,350.99350000000004,539.99,,draft
,FRIDGE,"FRIDGE, DBL DRAWER, 5.1 CUBIC FEET ",BLAZE,Parts,,,false,,,,,,,BLZ-SSRF-DBDR51,,,,,manual,2199.99,,,,,,,,,,,,,adult,818718012983.0,,,new,,,,,,,,grams,,1429.9934999999998,2199.99,,draft
,FRIDGE,"FRIDGE, OUTDOOR RATED 3.2 CUBIC FEET, 15'' ",BLAZE,Parts,,,false,,,,,,,BLZ-SSRF-15,,,,,manual,799.99,,,,,,,,,,,,,adult,818718013515.0,,,new,,,,,,,,grams,,519.9935,799.99,,draft
,FRIDGE,"FRIDGE, OUTDOOR RATED 5.5 CUBIC FEET, 24'' ",BLAZE,Parts,,,false,,,,,,,BLZ-SSRF-5.5,,,,,manual,1829.99,,,,,,,,,,,,,adult,818718013508.0,,,new,,,,,,,,grams,,1189.4935,1829.99,,draft
,GRIDDLE PLATE,"GRIDDLE PLATE, 14'' SS",BLAZE,Parts,,,false,,,,,,,BLZ-14-SSGP,,,,,manual,179.99,,,,,,,,,,,,,adult,818718013546.0,,,new,,,,,,,,grams,,116.99350000000001,179.99,,draft
,GRIDDLE PLATE,"GRIDDLE PLATE, 24'' SS",BLAZE,Parts,,,false,,,,,,,BLZ-24-SSGP,,,,,manual,269.99,,,,,,,,,,,,,adult,818718013539.0,,,new,,,,,,,,grams,,175.4935,269.99,,draft
,GRIDDLE,"GRIDDLE, LTE 30'' LP FOR BULK PROPANE, REGULATOR REQUIRED, PART# BLZ-32-050",BLAZE,Parts,,,false,,,,,,,BLZ-GRID-LTE-LP,,,,,manual,2299.99,,,,,,,,,,,,,adult,818718012136.0,,,new,,,,,,,,grams,,1494.9934999999998,2299.99,,draft
,GRIDDLE,"GRIDDLE, LTE 30'' NG",BLAZE,Parts,,,false,,,,,,,BLZ-GRID-LTE-NG,,,,,manual,2299.99,,,,,,,,,,,,,adult,818718012143.0,,,new,,,,,,,,grams,,1494.9934999999998,2299.99,,draft
,GRILL,"GRILL, BUILDER 25'' LP",BLAZE,Parts,,,false,,,,,,,BLZ-3LBM-LP,,,,,manual,1359.99,,,,,,,,,,,,,adult,818718013447.0,,,new,,,,,,,,grams,,883.9935,1359.99,,draft
,GRILL,"GRILL, BUILDER 25'' NG",BLAZE,Parts,,,false,,,,,,,BLZ-3LBM-NG,,,,,manual,1359.99,,,,,,,,,,,,,adult,818718013430.0,,,new,,,,,,,,grams,,883.9935,1359.99,,draft
,GRILL,"GRILL, BUILDER 32'' LP",BLAZE,Parts,,,false,,,,,,,BLZ-4LBM-LP,,,,,manual,1569.99,,,,,,,,,,,,,adult,818718013423.0,,,new,,,,,,,,grams,,1020.4935,1569.99,,draft
,GRILL,"GRILL, BUILDER 32'' NG",BLAZE,Parts,,,false,,,,,,,BLZ-4LBM-NG,,,,,manual,1569.99,,,,,,,,,,,,,adult,818718013416.0,,,new,,,,,,,,grams,,1020.4935,1569.99,,draft
,GRILL,"GRILL, CHARCOAL 32''",BLAZE,Parts,,,false,,,,,,,BLZ-4-CHAR,,,,,manual,1619.99,,,,,,,,,,,,,adult,818718011092.0,,,new,,,,,,,,grams,,1052.9935,1619.99,,draft
,GRILL,"GRILL, ELECTRIC 21''",BLAZE,Parts,,,false,,,,,,,BLZ-ELEC-21,,,,,manual,1489.99,,,,,,,,,,,,,adult,818718013317.0,,,new,,,,,,,,grams,,968.4935,1489.99,,draft
,GRILL,"GRILL, KAMADO 20''",BLAZE,Parts,,,false,,,,,,,BLZ-20-KAMADO,,,,,manual,2237.49,,,,,,,,,,,,,adult,818718011313.0,,,new,,,,,,,,grams,,1454.3684999999998,2237.49,,draft
,GRILL,"GRILL, LTE 32'' LP FOR BULK PROPANE, REGULATOR REQUIRED PART # BLZ-32-050",BLAZE,Parts,,,false,,,,,,,BLZ-4LTE2-LP,,,,,manual,2299.99,,,,,,,,,,,,,adult,818718011856.0,,,new,,,,,,,,grams,,1494.9934999999998,2299.99,,draft
,GRILL,"GRILL, LTE 32'' NG",BLAZE,Parts,,,false,,,,,,,BLZ-4LTE2-NG,,,,,manual,2299.99,,,,,,,,,,,,,adult,818718011863.0,,,new,,,,,,,,grams,,1494.9934999999998,2299.99,,draft
,GRILL,"GRILL, LTE 32'' MARINE LP FOR BULK PROPANE, REGULATOR REQUIRED PART # BLZ-32-050",BLAZE,Parts,,,false,,,,,,,BLZ-4LTE2MG-LP,,,,,manual,3199.99,,,,,,,,,,,,,adult,818718012280.0,,,new,,,,,,,,grams,,2079.9935,3199.99,,draft
,GRILL,"GRILL, LTE 32'' MARINE NG",BLAZE,Parts,,,false,,,,,,,BLZ-4LTE2MG-NG,,,,,manual,3199.99,,,,,,,,,,,,,adult,818718012297.0,,,new,,,,,,,,grams,,2079.9935,3199.99,,draft
,GRILL,"GRILL, LTE 40'' LP FOR BULK PROPANE, REGULATOR REQUIRED PART # BLZ-32-050",BLAZE,Parts,,,false,,,,,,,BLZ-5LTE2-LP,,,,,manual,2749.99,,,,,,,,,,,,,adult,818718011870.0,,,new,,,,,,,,grams,,1787.4934999999998,2749.99,,draft
,GRILL,"GRILL, LTE 40'' NG",BLAZE,Parts,,,false,,,,,,,BLZ-5LTE2-NG,,,,,manual,2749.99,,,,,,,,,,,,,adult,818718011887.0,,,new,,,,,,,,grams,,1787.4934999999998,2749.99,,draft
,GRILL,"GRILL, PROFESSIONAL 34'' LP",BLAZE,Parts,,,false,,,,,,,BLZ-3PRO-LP,,,,,manual,4299.99,,,,,,,,,,,,,adult,818718010590.0,,,new,,,,,,,,grams,,2794.9935,4299.99,,draft
,GRILL,"GRILL, PROFESSIONAL 34'' NG",BLAZE,Parts,,,false,,,,,,,BLZ-3PRO-NG,,,,,manual,4299.99,,,,,,,,,,,,,adult,818718010606.0,,,new,,,,,,,,grams,,2794.9935,4299.99,,draft
,GRILL,"GRILL, PROFESSIONAL 44'' LP FOR BULK PROPANE, REGULATOR REQUIRED PART # BLZ-32-050",BLAZE,Parts,,,false,,,,,,,BLZ-4PRO-LP,,,,,manual,5299.99,,,,,,,,,,,,,adult,818718011405.0,,,new,,,,,,,,grams,,3444.9935,5299.99,,draft
,GRILL,"GRILL, PROFESSIONAL 44'' NG",BLAZE,Parts,,,false,,,,,,,BLZ-4PRO-NG,,,,,manual,5299.99,,,,,,,,,,,,,adult,818718011412.0,,,new,,,,,,,,grams,,3444.9935,5299.99,,draft
,HOLE COVER CART,"HOLE COVER CART, LP",BLAZE,Parts,,,false,,,,,,,BLZ-LPH-COVER,,,,,manual,39.99,,,,,,,,,,,,,adult,818718010439.0,,,new,,,,,,,,grams,,25.9935,39.99,,draft
,HOSE & REGULATOR,"HOSE & REGULATOR, LOW PRESSURE, LP",BLAZE,Parts,,,false,,,,,,,BLZ-LP-HOSE/REG,,,,,manual,33.14,,,,,,,,,,,,,adult,,,,new,,,,,,,,grams,,21.541,33.14,,draft
,HOSE,"HOSE, QUICK DISCONNECT NG/ LP",BLAZE,Parts,,,false,,,,,,,BLZ-NG-HOSE,,,,,manual,74.99,,,,,,,,,,,,,adult,818718010804.0,,,new,,,,,,,,grams,,48.7435,74.99,,draft
,ICE DRAWER,ICE DRAWER,BLAZE,Parts,,,false,,,,,,,BLZ-ICE-DRW-H,,,,,manual,949.99,,,,,,,,,,,,,adult,818718013874.0,,,new,,,,,,,,grams,,617.4935,949.99,,draft
,ICE MACHINE,"ICE MACHINE, 15''",BLAZE,Parts,,,false,,,,,,,BLZ-ICEMKR-50GR,,,,,manual,2499.99,,,,,,,,,,,,,adult,818718011184.0,,,new,,,,,,,,grams,,1624.9934999999998,2499.99,,draft
,ICEMAKER TRIM KIT,ICEMAKER TRIM KIT,BLAZE,Parts,,,false,,,,,,,BLZ-TK-ICEMKR,,,,,manual,79.99,,,,,,,,,,,,,adult,818718012129.0,,,new,,,,,,,,grams,,51.9935,79.99,,draft
,INFRARED BURNER,"INFRARED BURNER, PROFESSIONAL",BLAZE,Parts,,,false,,,,,,,BLZ-PRO-IR,,,,,manual,269.99,,,,,,,,,,,,,adult,818718011252.0,,,new,,,,,,,,grams,,175.4935,269.99,,draft
